rank,filename,source_plan,pred_eta_mean,bemt_eta_mean_cal,cfd_single_eta_cal,exploit_score,explore_score,composite_score,min_dist_std_space,AR,lambda,aoaRoot (deg),aoaTip (deg),logE_eff,process,material,orientation
1,Prop_043_PCF_01.csv,doe_test_plan_02.csv,0.5272623193830005,0.3781861748154961,0.5042166861102115,1.0,0.6365797993070504,0.890973939792115,2.846165894688913,6.056135457630815,0.8230526725159566,18.86604645900247,7.384811498846098,22.1654678300046,FDM,PCF,span_strong
2,Prop_033_PCF_01.csv,doe_test_plan_02.csv,0.5204638390203418,0.3317583647115796,0.5035320044251725,0.9556900743291035,0.7183150360117476,0.8844775628338966,3.211606399330226,7.112627828114131,0.5450012962465937,19.504938369829883,7.077744423420494,22.1654678300046,FDM,PCF,span_strong
3,Prop_033_PLA_01.csv,doe_test_plan_02.csv,0.4902928028979462,0.3317583647115796,0.5035320044251725,0.8841638523319373,0.5620296484791963,0.787523591176115,2.5128501077897307,7.112627828114131,0.5450012962465937,19.504938369829883,7.077744423420494,21.58192745598393,FDM,PLA,span_strong
4,Prop_043_PLA_01.csv,doe_test_plan_02.csv,0.4970912832606049,0.3781861748154961,0.5042166861102115,0.9284737780028338,0.45291795691371667,0.7858070316760986,2.0250087160529313,6.056135457630815,0.8230526725159566,18.86604645900247,7.384811498846098,21.58192745598393,FDM,PLA,span_strong
5,Prop_028_PCF_01.csv,doe_test_plan_02.csv,0.466211542070441,0.4078382520290496,0.41902644607396455,0.788691506330512,0.6422102997692304,0.7447471443621274,2.8713400180320208,6.376799961892761,0.891425220450579,17.330277574610058,4.719070879623222,22.1654678300046,FDM,PCF,span_strong
6,Prop_045_PCF_01.csv,doe_test_plan_02.csv,0.43258489198545913,0.4068615790170561,0.38886202028753525,0.6785981788137851,0.7319711223644148,0.694610061878974,3.272663139230231,6.706300181184713,0.9922894144024136,17.027341998166975,4.235556469939237,22.1654678300046,FDM,PCF,span_strong
7,Prop_014_PCF_01.csv,doe_test_plan_01.csv,0.4594721618866277,0.40362165068255984,0.42860702589147337,0.7796790323524998,0.4859494423158877,0.691560155341516,2.172693401154331,6.20385917591897,0.821921643560126,13.581108360978767,7.3247454069280575,22.1654678300046,FDM,PCF,span_strong
8,Prop_047_PCF_01.csv,doe_test_plan_02.csv,0.41737130685801355,0.3171435679168765,0.4329068356885115,0.6328649739184075,0.8069516892859707,0.6850909885286764,3.6079033283924957,9.094528476787096,0.6828928688569926,19.8312348425706,6.400600643759812,22.1654678300046,FDM,PCF,span_strong
9,Prop_032_PCF_01.csv,doe_test_plan_02.csv,0.4359592914500237,0.3444261457650882,0.41064736313490613,0.6711133538523737,0.6994992746244302,0.6796291300839906,3.1274806095997283,8.078927657599635,0.5125853890551244,16.610300354406732,5.381814420076764,22.1654678300046,FDM,PCF,span_strong
10,Prop_048_PCF_01.csv,doe_test_plan_02.csv,0.4353894891879363,0.4123551561886779,0.36495655862171383,0.6648893759856782,0.6496886667646466,0.6603291632193687,2.904776003769379,6.586033009184614,0.623816509008934,13.269323135870144,3.827196973747198,22.1654678300046,FDM,PCF,span_strong
