filename,rpm_bin,prop_efficiency_mean,system_efficiency,motor_efficiency
Prop_001_PLA_01.csv,1800,0.640845256174063,0.3327296360466846,0.5212014799226791
Prop_001_T2K_01.csv,1200,0.5859468530844346,0.24105644029714268,0.4220733457862087
Prop_004_PLA_01.csv,1350,0.4587437501961753,0.2124180082889852,0.4698618703946105
Prop_004_PLA_01.csv,1800,0.5242679904431246,0.3205720504542914,0.6079654573305426
Prop_010_PLA_01.csv,1800,0.47023201439467505,0.2571684495760999,0.553274201923263
Prop_011_PLA_01.csv,750,0.2682203192142448,0.03748635613338791,0.14699381790979849
Prop_011_PLA_01.csv,2100,0.18004919516513315,0.06679460448222907,0.37097974484677937
Prop_013_PLA_01.csv,1350,0.3964860855090619,0.18172742271130352,0.46828382217777903
Prop_013_PLA_01.csv,2700,0.4440994674492598,0.2735813137780207,0.6160361221538246
Prop_014_PLA_01.csv,1950,0.2992913510040959,0.20815260893796236,0.695484878662978
Prop_025_PLA_01.csv,2100,0.013389665101375741,0.010230499870559713,0.7640594289030102
